           0.01;  1;"R18";MPR5JB10L0;MPR5JB10L0-ND
            11k; 13;"R1, R2, R4, R5, R7, R9, R10, R11, R12, R13, R14, R17, R20";MFR-25FBF52-11K;11.0KXBK-ND;603-MFR-25FBF52-11K
           169k;  4;"R3, R6, R8, R16";MFR-25FBF52-169K;169KXBK-ND;603-MFR-25FBF52-169K
           18pF;  2;"C12, C13";FK18C0G1H180J;445-4762-ND;810-FK18C0G1H180J
             1k;  2;"R15, R19";MFR-25FBF52-1K;1.00KXBK-ND;603-MFR-25FBF52-1K
         1N4936;  3;"D1, D2, D3";1N4936;1N4936FSCT-ND;512-1N4936
            1uF; 13;"C1, C2, C6, C8, C9, C10, C14, C16, C17, C18, C19, C20, C21";FK24X7R1H105K;445-8517-ND;810-FK24X7R1H105K
         2000pF;  6;"C3, C4, C5, C7, C11, C15";S202M29Z5UN63L6R;1268PH-ND;594-S202M29Z5UN63L6R
          20MHz;  1;"X1";9B-20.000MBBK-B;887-2018-ND;9B-20.000MEEJ-B
         2N3904;  1;"Q1";2N3904BU;2N3904FS-ND;512-2N3904BU
         74HC08;  1;"U4";SN74HC08N;296-1570-5-ND;595-SN74HC08N
           7805;  1;"U1";AS78L05ZTR-E1;AS78L05ZTR-E1DICT-ND;621-AS78L05ZTR-E1
    ATMEGA328-P;  1;"U3";ATMEGA328-PU;ATMEGA328-PU-ND;556-ATMEGA328-PU
          BATT+;  1;"J7"
          BATT-;  1;"J8"
           ICSP;  1;"J4";30306-6002HB;3M15451-ND;517-30306-6002HB
         JUMPER;  1;"J5";PREC040SAAN-RC;S1012EC-40-ND; N/A
            LED;  1;"D4";WP710A10ID;754-1606-ND;604-WP710A10ID
        LM2902N;  1;"U2";LM2902N;LM2902NFS-ND;512-LM2902N
         LM5109;  3;"U5, U6, U7";LM5109MA/NOPB;LM5109MA/NOPB-ND;926-LM5109MA/NOPB
       NTD5865N;  6;"Q2, Q3, Q4, Q5, Q6, Q7";NTD5865NT4G;NTD5865NT4GOSCT-ND;863-NTD5865NT4G
     SERIAL_OUT;  1;"J6";PREC040SAAN-RC;S1012EC-40-ND; N/A
        SW_PUSH;  1;"SW1";1825910-7;450-1804-ND;506-FSM4JAH
          U_OUT;  1;"J1"
          V_OUT;  1;"J2"
          W_OUT;  1;"J3"
